writer_id,proposition_id,paragraph_type,model_name,model_input_condition,writer_stance,writer_stance_polarity,writer_confidence,writer_knowledge,writer_importance,paragraph_relevance,paragraph_clarity,paragraph_formality,paragraph_informativeness,paragraph_originality,writer_friendliness,writer_optimism,writer_community,writer_openness,paragraph_hope,paragraph_excitement,paragraph_fear,paragraph_disgust,paragraph_anger,writer_affect_x,writer_affect_y,writer_age,writer_age_binned,writer_gender,writer_race,writer_english_first,writer_english_skills,writer_education,writer_income,writer_politicalParty,writer_politicalIdeology
6765e63b9cbc0ec185d7e8fa,389,model,deepseek/deepseek-chat-v3-0324,stance-based,96.0909090909091,92.18181818181819,91.9090909090909,80.0909090909091,84.9090909090909,88.0,86.72727272727273,82.63636363636364,86.27272727272727,70.63636363636364,61.09090909090909,70.54545454545455,78.72727272727273,32.45454545454545,70.36363636363636,62.54545454545455,14.636363636363637,9.454545454545455,9.727272727272727,72.57090909090908,36.82181818181818,38.36363636363637,30-39,Male,White,Yes,Expert,Postgraduate degree (Master's),"£50,000-£74,999",Conservative,Moderately Left-Wing
5fa80de9f8f2695ee7e4f245,122,edited,anthropic/claude-sonnet-4,rewrite,42.27272727272727,42.36363636363637,69.18181818181819,62.36363636363637,69.27272727272727,45.0,47.09090909090909,79.9090909090909,48.27272727272727,52.90909090909091,49.54545454545455,48.81818181818182,54.27272727272727,41.63636363636363,50.63636363636363,26.818181818181817,35.90909090909091,18.181818181818183,17.90909090909091,54.45636363636363,48.85545454545454,43.54545454545455,40-49,Female,White,Yes,Advanced,A-levels or equivalent,"£35,000-£49,999",Labour,Centrist
5e230311699ac45b327786dc,345,model,anthropic/claude-sonnet-4,stance-based,38.6,50.8,65.5,53.6,59.2,67.3,57.0,53.6,53.0,41.2,45.7,38.6,54.3,38.4,32.8,25.2,26.7,21.9,20.7,45.063,50.894,36.8,18-29,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Conservative,Centrist
62b44b9958864d679bdb2c20,144,writer,,,5.333333333333333,89.33333333333333,71.11111111111111,46.44444444444444,64.11111111111111,64.55555555555556,74.66666666666667,22.555555555555557,26.77777777777778,17.88888888888889,35.111111111111114,21.77777777777778,30.88888888888889,12.555555555555555,12.777777777777779,22.11111111111111,54.55555555555556,16.88888888888889,38.22222222222222,27.276666666666667,37.647777777777776,30.666666666666668,18-29,Male,White,Yes,Basic,GCSEs or equivalent,"£25,000-£34,999",Other,Very Right-Wing
675c79491bbd4e232d192d78,184,model,anthropic/claude-sonnet-4,stance-based,28.636363636363637,43.81818181818182,71.0,78.9090909090909,72.27272727272727,90.36363636363636,76.45454545454545,78.9090909090909,66.72727272727273,49.0,50.90909090909091,58.09090909090909,57.81818181818182,39.0,58.27272727272727,34.63636363636363,22.90909090909091,11.363636363636363,14.818181818181818,60.02909090909091,45.52181818181818,46.0,40-49,Male,White,Yes,Expert,Undergraduate degree,"£35,000-£49,999",Liberal Democrats,Centrist
67110a0f39facf3288e299e3,249,writer,,,95.11111111111111,90.22222222222223,90.77777777777777,84.11111111111111,84.44444444444444,93.77777777777777,95.33333333333333,68.22222222222223,69.77777777777777,45.44444444444444,59.55555555555556,52.77777777777778,75.77777777777777,29.444444444444443,65.11111111111111,35.666666666666664,22.444444444444443,25.0,25.88888888888889,37.80777777777777,49.30777777777777,36.888888888888886,18-29,Female,Black,Yes,Advanced,Undergraduate degree,"£35,000-£49,999",Labour,Moderately Left-Wing
6578943bda60b06de1ba4628,37,writer,,,87.63636363636364,75.27272727272727,78.0,61.72727272727273,66.81818181818181,81.18181818181819,73.18181818181819,54.18181818181818,47.63636363636363,42.45454545454545,65.81818181818181,68.72727272727273,55.0,44.27272727272727,61.27272727272727,32.36363636363637,15.909090909090908,7.7272727272727275,5.818181818181818,72.55272727272728,61.35181818181818,30.0,18-29,Male,White,Yes,Advanced,A-levels or equivalent,"£25,000-£34,999",Labour,Centrist
5c5898e49fcbc40001dcbc42,87,model,openai/chatgpt-4o-latest,stance-based,56.0,14.4,68.0,77.3,61.9,89.3,77.0,76.0,67.4,54.2,70.9,54.9,54.1,72.9,57.2,36.4,21.2,11.7,7.1,61.253,54.073,42.7,40-49,Male,White,Yes,Expert,Postgraduate degree (Master's),"£100,000+",Conservative,Centrist
5ba6d33077f30d00014fe202,369,writer,,,68.7,57.0,83.7,72.0,67.5,81.6,78.8,57.2,48.1,42.8,61.2,52.8,67.6,39.1,60.4,42.7,28.3,30.0,27.4,62.536,43.092,34.7,18-29,Female,White,Yes,Advanced,Undergraduate degree,"£35,000-£49,999",Labour,Moderately Right-Wing
5fa92f3172de7e02d5d77656,357,writer,,,10.1,93.8,80.1,57.8,72.9,83.2,89.2,35.9,47.2,35.6,60.7,53.9,79.8,31.6,50.4,31.3,32.1,42.2,32.5,42.642,27.101999999999997,28.2,18-29,Female,White,Yes,Advanced,Undergraduate degree,"£25,000-£34,999",Labour,Moderately Left-Wing
