attribute,attribute_type,spread_metric,spread_writer,spread_model,spread_difference,relative_dispersion_ratio,normalised_entropy_difference,ci_low,ci_high,significant_0_05_bonferroni,significant_0_01_bonferroni,significant_0_001_bonferroni
paragraph_formality,scale,sd,26.58830071103698,21.787611890986163,-4.800688820050816,0.8194435638356528,NA,-4.981234378122185,-4.614534921483111,TRUE,TRUE,TRUE
paragraph_clarity,scale,sd,25.832229946246937,20.83873925882115,-4.993490687425787,0.8066953299108708,NA,-5.219621864109469,-4.744454325489237,TRUE,TRUE,TRUE
paragraph_informativeness,scale,sd,27.417522285103296,24.80298215214524,-2.614540132958055,0.9046398100539301,NA,-2.8057276156075424,-2.4236990903540487,TRUE,TRUE,TRUE
paragraph_originality,scale,sd,25.070020218376808,25.21378490228356,0.14376468390675257,1.00573452604563,NA,-0.04640544969398635,0.3194314572139921,FALSE,FALSE,FALSE
paragraph_relevance,scale,sd,23.39035713662593,18.731220858073044,-4.659136278552886,0.8008095279888929,NA,-4.8752536732875225,-4.403680114956893,TRUE,TRUE,TRUE
writer_knowledge,scale,sd,24.48700486651705,20.421434245909875,-4.0655706206071756,0.8339702775913465,NA,-4.280613395886529,-3.850580441924634,TRUE,TRUE,TRUE
writer_importance,scale,sd,23.315820967232092,20.087336312008794,-3.2284846552232978,0.8615324478704571,NA,-3.449726051404172,-3.007515480138739,TRUE,TRUE,TRUE
writer_confidence,scale,sd,23.91786370719534,20.4147813389601,-3.5030823682352406,0.8535369876206215,NA,-3.7403247578181764,-3.2637807974303894,TRUE,TRUE,TRUE
writer_stance_polarity,scale,sd,33.1400073591916,32.66377966676117,-0.4762276924304274,0.9856298253869173,NA,-0.685801608067916,-0.26024498751842184,TRUE,TRUE,TRUE
paragraph_hope,scale,sd,24.923656364299205,24.488030978087828,-0.4356253862113775,0.9825216099979869,NA,-0.6057602193067011,-0.23738997622375974,TRUE,TRUE,TRUE
paragraph_excitement,scale,sd,22.997125720801503,24.231085792561956,1.2339600717604533,1.0536571433639772,NA,1.042366206270945,1.430267909585983,TRUE,TRUE,TRUE
paragraph_fear,scale,sd,27.124181560290552,26.267510643596534,-0.8566709166940178,0.9684167090981217,NA,-1.0378273422783535,-0.6877372497399368,TRUE,TRUE,TRUE
paragraph_disgust,scale,sd,27.627473401601964,25.328505812022605,-2.298967589579359,0.9167869042470581,NA,-2.505154668381181,-2.085533912975159,TRUE,TRUE,TRUE
paragraph_anger,scale,sd,28.17922831128248,26.096981178623356,-2.0822471326591234,0.9261070207580728,NA,-2.288703174342975,-1.8957709522722215,TRUE,TRUE,TRUE
writer_affect_x,scale,sd,23.17527846083418,23.291775656032616,0.11649719519843771,1.0050267872895386,NA,-0.06795763138247235,0.2905636643920302,FALSE,FALSE,FALSE
writer_affect_y,scale,sd,19.879875955144634,18.732186354263106,-1.1476896008815274,0.9422687745400885,NA,-1.3268977714823853,-0.9795957082670157,TRUE,TRUE,TRUE
writer_optimism,scale,sd,22.73079097594842,21.746354353804406,-0.9844366221440133,0.9566914929099629,NA,-1.1645293647036599,-0.8040259313774103,TRUE,TRUE,TRUE
writer_community,scale,sd,24.376702717479354,23.026608236397685,-1.350094481081669,0.944615377365472,NA,-1.592686810007916,-1.1210501459238462,TRUE,TRUE,TRUE
writer_friendliness,scale,sd,20.106936163651635,18.550420166998283,-1.5565159966533528,0.9225881067117949,NA,-1.7372735963206012,-1.3674484361561012,TRUE,TRUE,TRUE
writer_openness,scale,sd,24.956004209280458,25.834900815244254,0.8788966059637957,1.035217841710291,NA,0.694391666239919,1.059049486344283,TRUE,TRUE,TRUE
writer_income,ordinal,entropy_base2,2.305218038233314,2.2918999296767213,-0.013318108556592545,NA,-0.004744005986543112,-0.025698594695904044,-0.0011897301097877028,FALSE,FALSE,FALSE
writer_age_binned,ordinal,entropy_base2,1.9727173122377624,2.053215331206949,0.08049801896918685,NA,0.03114088461504931,0.069559728401342,0.0914780444856564,TRUE,TRUE,TRUE
writer_english_first,ordinal,entropy_base2,0.5088815311385186,0.2188724132747092,-0.29000911786380945,NA,-0.29000911786380945,-0.30259837731577577,-0.2791318254614265,TRUE,TRUE,TRUE
writer_english_skills,ordinal,entropy_base2,1.794519742486185,1.3110026236286885,-0.4835171188574965,NA,-0.24175855942874824,-0.4938879438427691,-0.47392645686017443,TRUE,TRUE,TRUE
writer_education,ordinal,entropy_base2,2.3802747824912904,2.1577634726148727,-0.22251130987641776,NA,-0.07926012779080024,-0.23591222954204535,-0.2090741069029612,TRUE,TRUE,TRUE
writer_gender,nominal,entropy_base2,1.0905106249944747,1.109583458920517,0.0190728339260422,NA,0.012033618408867137,0.010486657549826356,0.027228785084783352,TRUE,TRUE,TRUE
writer_race,nominal,entropy_base2,1.409319284534918,1.364081549457789,-0.04523773507712914,NA,-0.01948283203805398,-0.06494423158826503,-0.025344988898809522,TRUE,TRUE,TRUE
writer_politicalParty,nominal,entropy_base2,2.5734335370166446,2.3988538925602887,-0.17457964445635588,NA,-0.05819321481878529,-0.18750110549805432,-0.16024102023862213,TRUE,TRUE,TRUE
writer_politicalIdeology,nominal,entropy_base2,2.348758173630085,2.2929048252834585,-0.055853348346626586,NA,-0.021607024601341236,-0.06593088492415937,-0.04489194793292526,TRUE,TRUE,TRUE
