term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
mitigation_condition_none,Asian,White,0.753461673035987,0.6376710420904604,0.8902779885896928,-3.325217369712667,8.834962480266784e-4,8.834962480266784e-4,0.02946503822334051
mitigation_condition_none,Black,White,0.8560099995778409,0.7379637901865411,0.9929391240077389,-2.053595658688224,0.040014842682478166,0.040014842682478166,0.02946503822334051
mitigation_condition_none,Mixed,White,0.9112904487361698,0.7809860717025111,1.0633355856749522,-1.179950318597355,0.23801997508700953,0.23801997508700953,0.02946503822334051
mitigation_condition_none,Other,White,0.8032498658896565,0.6255223892185652,1.0314744254922372,-1.7171206697267851,0.08595712628328077,0.08595712628328077,0.02946503822334051
mitigation_condition_prompting,Asian,White,0.8104551300931357,0.687101180892724,0.9559545757742375,-2.494707807954966,0.012606088773094146,0.012606088773094146,0.02703887021883553
mitigation_condition_prompting,Black,White,0.8305501952359388,0.713537380247744,0.966751912236117,-2.396435038103671,0.016555427821935954,0.016555427821935954,0.02703887021883553
mitigation_condition_prompting,Mixed,White,0.909521931151494,0.7780647918427124,1.0631892766750068,-1.190697009954755,0.23377255216318296,0.23377255216318296,0.02703887021883553
mitigation_condition_prompting,Other,White,0.860887161332584,0.6708692346478191,1.1047260274743973,-1.1772442391333446,0.2390980359050526,0.2390980359050526,0.02703887021883553
mitigation_condition_reranking,Asian,White,0.7272554005223448,0.6114310063747099,0.8650206026103695,-3.59829280956214,3.203128789119935e-4,3.203128789119935e-4,0.02968182287516359
mitigation_condition_reranking,Black,White,0.8706024302025381,0.7481452817571628,1.0131034839842572,-1.7916754788929108,0.07318496467273423,0.07318496467273423,0.02968182287516359
mitigation_condition_reranking,Mixed,White,0.9045530322875286,0.7724977829263026,1.0591825715292982,-1.2458898497516886,0.21280483701136113,0.21280483701136113,0.02968182287516359
mitigation_condition_reranking,Other,White,0.8357480353584241,0.6509655790797745,1.072982659993869,-1.407445915675956,0.1592952040609111,0.1592952040609111,0.02968182287516359
