term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
model_and_mitigation_anthropic/claude-sonnet-4__none,Conservative,Labour,1.3948227514157978,1.1651768356146,1.669729819886885,3.6255920416683525,2.8830018621014747e-4,2.8830018621014747e-4,0.1301629760193168
model_and_mitigation_anthropic/claude-sonnet-4__none,Did not vote,Labour,0.4148296032038003,0.31385259082797917,0.5482943417489278,-6.182519688660052,6.308643988822106e-10,6.308643988822106e-10,0.1301629760193168
model_and_mitigation_anthropic/claude-sonnet-4__none,Greens,Labour,1.3447449662683657,1.0668530670384366,1.6950216296645437,2.5079172622735775,0.012144509988598198,0.012144509988598198,0.1301629760193168
model_and_mitigation_anthropic/claude-sonnet-4__none,Liberal Democrats,Labour,1.2277414456803677,0.9947726977472559,1.5152698308415926,1.9111808880721453,0.05598133906331389,0.05598133906331389,0.1301629760193168
model_and_mitigation_anthropic/claude-sonnet-4__none,Not eligible to vote,Labour,0.16482559779546974,0.06743667445209833,0.4028590957273786,-3.9539266295511357,7.68789931334493e-5,7.68789931334493e-5,0.1301629760193168
model_and_mitigation_anthropic/claude-sonnet-4__none,Other,Labour,1.219383527564792,0.8339723571510065,1.7829082397597085,1.0233129144888427,0.3061599195363468,0.3061599195363468,0.1301629760193168
model_and_mitigation_anthropic/claude-sonnet-4__none,Reform UK,Labour,0.6524383708622655,0.49632553842322985,0.8576544925045185,-3.060484972075728,0.002209788499702454,0.002209788499702454,0.1301629760193168
model_and_mitigation_anthropic/claude-sonnet-4__none,Scottish National Party,Labour,1.7047185993589122,1.0128704950781071,2.8691382729794213,2.008145699232851,0.04462781126785519,0.04462781126785519,0.1301629760193168
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Conservative,Labour,1.5471489505947957,1.2870592947032715,1.859797668357177,4.647396089798898,3.3615132656077255e-6,3.3615132656077255e-6,0.1555613878540505
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Did not vote,Labour,0.32953485138290617,0.23977369725546946,0.4528987938166222,-6.8422493579214185,7.795923026492191e-12,7.795923026492191e-12,0.1555613878540505
