writer_id,proposition_id,proposition_number,made_edits,edit_ratio,edit_distance
4a725cae43bc0c8a,51,3,False,0.0,0
5ffb5495ea5f90ed,358,1,False,0.0,0
5ffb5495ea5f90ed,370,2,False,0.0,0
5ffb5495ea5f90ed,114,3,True,0.9016216216216216,182
7f11fa40cbaf6cf5,374,1,False,0.0,0
7f11fa40cbaf6cf5,38,2,False,0.0,0
7f11fa40cbaf6cf5,174,3,True,0.9989939637826962,1
e9245e45295c5a48,353,1,False,0.0,0
e9245e45295c5a48,181,2,False,0.0,0
e9245e45295c5a48,18,3,False,0.0,0
146d0a109f456715,375,1,True,0.9574309185959672,48
146d0a109f456715,129,2,True,0.9931464174454828,9
146d0a109f456715,20,3,True,0.9785507246376811,36
8a401fc2bf2e1fa2,303,1,False,0.0,0
8a401fc2bf2e1fa2,248,2,True,0.8812664907651715,179
8a401fc2bf2e1fa2,358,3,False,0.0,0
c8c84c67aca3a306,242,1,False,0.0,0
c8c84c67aca3a306,67,2,False,0.0,0
c8c84c67aca3a306,249,3,False,0.0,0
fbd4710326146df7,37,1,False,0.0,0
fbd4710326146df7,67,2,False,0.0,0
fbd4710326146df7,250,3,False,0.0,0
df17b8090cc6b109,218,1,False,0.0,0
df17b8090cc6b109,236,2,False,0.0,0
df17b8090cc6b109,378,3,False,0.0,0
8083533eafdd1dad,372,1,False,0.0,0
8083533eafdd1dad,243,2,False,0.0,0
8083533eafdd1dad,18,3,False,0.0,0
fb80ee558f0329db,360,1,False,0.0,0
fb80ee558f0329db,339,2,False,0.0,0
fb80ee558f0329db,41,3,False,0.0,0
c7881accbbff1877,129,1,True,0.9507364144235653,97
c7881accbbff1877,20,2,True,0.9433962264150944,106
c7881accbbff1877,353,3,True,0.9348441926345609,114
18a07ec3bcd2dee7,156,1,False,0.0,0
18a07ec3bcd2dee7,250,2,False,0.0,0
18a07ec3bcd2dee7,46,3,True,0.8971354166666666,158
5e0eb84073daed5c,256,1,False,0.0,0
5e0eb84073daed5c,51,2,False,0.0,0
5e0eb84073daed5c,343,3,False,0.0,0
e84d09eb0a2378c3,346,1,False,0.0,0
e84d09eb0a2378c3,156,2,False,0.0,0
e84d09eb0a2378c3,268,3,False,0.0,0
68dc52e8a2fb5856,173,1,False,0.0,0
68dc52e8a2fb5856,41,2,False,0.0,0
68dc52e8a2fb5856,353,3,False,0.0,0
5c839ec701105605,171,1,False,0.0,0
5c839ec701105605,250,2,False,0.0,0
5c839ec701105605,256,3,False,0.0,0
cde45f387aedb4d4,345,1,True,0.9861495844875346,10
cde45f387aedb4d4,126,2,False,0.0,0
cde45f387aedb4d4,174,3,False,0.0,0
02df3dab4c2f43c5,339,1,False,0.0,0
02df3dab4c2f43c5,231,2,False,0.0,0
02df3dab4c2f43c5,343,3,False,0.0,0
596a10a3c2255d43,339,1,True,0.9332632685233841,126
596a10a3c2255d43,180,2,True,0.9426542872747132,70
596a10a3c2255d43,22,3,False,0.0,0
b24a829ca26394ac,230,1,False,0.0,0
b24a829ca26394ac,54,2,False,0.0,0
b24a829ca26394ac,231,3,False,0.0,0
fdcac7d2f1f50616,343,1,True,0.971953578336557,58
fdcac7d2f1f50616,278,2,True,0.8825242718446602,230
fdcac7d2f1f50616,243,3,False,0.0,0
58475aca9116fca1,360,1,True,0.9273542600896861,162
58475aca9116fca1,176,2,True,0.8640541848089018,243
58475aca9116fca1,99,3,False,0.0,0
cad1b3abc89cbbb0,325,1,True,0.8643533123028391,295
cad1b3abc89cbbb0,339,2,True,0.773,402
cad1b3abc89cbbb0,81,3,True,0.9779411764705882,29
cdb22ea416a367d1,356,1,False,0.0,0
