term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
input_condition_bullets-based,1.9031975252114748,1.8620922205978836,1.945210221010468,57.766200105673434,0,10.814575828009643,10.46680300068713,11.162348655332154
input_condition_improve,1.3892728834809618,1.3498633967374991,1.4298329367551836,22.392730098603614,4.633222107843804e-111,6.018647196492532,5.521457256186406,6.515837136798659
input_condition_rewrite,1.257280040645261,1.2213435611390384,1.2942739053135235,15.474073996325728,5.191491886520286e-54,4.299512171611541,3.7762526506407603,4.8227716925823225
input_condition_stance-based,1.6990456090109836,1.6622329110412237,1.736673580654373,47.4283585075977,0,9.193963115722447,8.832974779218938,9.554951452225957
