term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Asian,White,0.8935728135301472,0.8269094837789753,0.9656103705948145,-2.8446595626506355,0.004445891199294013,0.004445891199294013
input_condition_bullets-based,Black,White,1.0107050459667706,0.943094679126002,1.0831623935036654,0.3014349830590604,0.7630828214590191,0.7630828214590191
input_condition_bullets-based,Mixed,White,0.9898185076527021,0.9211745867366121,1.0635776238277355,-0.27907952659116625,0.7801837945844667,0.7801837945844667
input_condition_bullets-based,Other,White,0.7962382411834423,0.7168884053135289,0.8843710290524589,-4.254208840311685,2.097894369462198e-5,2.097894369462198e-5
input_condition_improve,Asian,White,0.837731438619634,0.7548276158510318,0.9297407096857243,-3.3301909839710273,8.678643502535956e-4,8.678643502535956e-4
input_condition_improve,Black,White,0.9121084129782752,0.8306978487082995,1.0014974257118667,-1.928631152197771,0.05377666881924951,0.05377666881924951
input_condition_improve,Mixed,White,0.8835926017507494,0.801507696726988,0.974084078115341,-2.4878379750888673,0.012852227087669038,0.012852227087669038
input_condition_improve,Other,White,0.7726497973587162,0.6720622151476625,0.8882923275597301,-3.624603948206274,2.894046044265643e-4,2.894046044265643e-4
input_condition_rewrite,Asian,White,0.890389817627442,0.8029757897603809,0.9873199633717601,-2.202046088311387,0.0276620530685802,0.0276620530685802
input_condition_rewrite,Black,White,0.9247824523327184,0.8415007958122485,1.0163063284058138,-1.624065927441838,0.10436173887305195,0.10436173887305195
input_condition_rewrite,Mixed,White,0.960331600223831,0.8722974036530893,1.0572504039634119,-0.8251240817582441,0.4093011489780809,0.4093011489780809
input_condition_rewrite,Other,White,0.819159312526955,0.713014004032646,0.9411063113830653,-2.8172740519401707,0.0048433179461765084,0.0048433179461765084
input_condition_stance-based,Asian,White,0.9517594919928035,0.8817301695911262,1.027350726831153,-1.2679943708058878,0.20479996082900984,0.20479996082900984
input_condition_stance-based,Black,White,1.0565902087567847,0.9864739646373425,1.1316901502323193,1.5712743518391104,0.11611893608505611,0.11611893608505611
input_condition_stance-based,Mixed,White,0.9876339582103744,0.9186634310561527,1.061782588089837,-0.3368941556360521,0.7361966911840475,0.7361966911840475
input_condition_stance-based,Other,White,0.8599355688685808,0.7755819406517468,0.9534636430341747,-2.8646720949793365,0.00417441257106098,0.00417441257106098
