term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
input_condition_bullets-based,1.8653640972236776,1.8265993253406507,1.9049515495480558,58.18731027489392,0,9.376691459472564,9.071328497374076,9.682054421571051
input_condition_improve,1.408453051402241,1.370157306397639,1.4478191582394662,24.351074123877133,5.647398604329859e-131,5.603908270524616,5.180626724244234,6.027189816804998
input_condition_rewrite,1.286817480697817,1.251635711426113,1.3229881614217818,17.829485287463527,4.172446294208112e-71,4.235206071279762,3.7914038133963586,4.679008329163166
input_condition_stance-based,1.8675180126355861,1.8286355067064308,1.9072272821607594,58.18445337816919,0,9.390723813358736,9.085150977037301,9.696296649680173
