term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
input_condition_bullets-based,2.3210621254701285,2.2750304720097656,2.3680251568378923,82.38738142443313,0,18.861409326956704,18.443635844730487,19.279182809182917
input_condition_improve,1.670934288544662,1.6279471968798442,1.7150564846240095,38.60678007130112,0,12.092440967542384,11.50857675520879,12.67630517987598
input_condition_rewrite,1.4741392235677275,1.4360951883084356,1.513191094958352,29.090391692885976,4.749338628744765e-186,9.282753764987028,8.677619108389683,9.887888421584373
input_condition_stance-based,2.440686466425053,2.3919410667250016,2.490425249292012,86.68698347624826,0,19.811711702185086,19.397193562867827,20.226229841502345
