term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
mitigation_condition_none,Asian,White,0.7480892437118943,0.6411543608121602,0.8728592531890956,-3.687838916193985,2.2616674622092804e-4,2.2616674622092804e-4,0.020237669732482068
mitigation_condition_none,Black,White,0.8753669072861313,0.764893128540671,1.001796452052899,-1.9339236128860424,0.05312252041448852,0.05312252041448852,0.020237669732482068
mitigation_condition_none,Mixed,White,0.9702070390042877,0.8433648694000215,1.1161262849413198,-0.42310918096850864,0.672215604225195,0.672215604225195,0.020237669732482068
mitigation_condition_none,Other,White,0.8674066232159183,0.6923208560154666,1.0867710303126177,-1.2366138675899758,0.21623046905803275,0.21623046905803275,0.020237669732482068
mitigation_condition_prompting,Asian,White,0.8185753159402887,0.7042856132583892,0.9514116648878765,-2.6091794095211633,0.00907596443770241,0.00907596443770241,0.017821901555157827
mitigation_condition_prompting,Black,White,0.8469029630854876,0.7386313326860174,0.9710454960998387,-2.3810089523104656,0.017265292359675093,0.017265292359675093,0.017821901555157827
mitigation_condition_prompting,Mixed,White,0.9763867466328562,0.8482852329828227,1.123833165936531,-0.3330244589449118,0.7391158203887533,0.7391158203887533,0.017821901555157827
mitigation_condition_prompting,Other,White,0.8932725705175566,0.7122317576104142,1.1203317974982918,-0.9767055833367735,0.32871493022553555,0.32871493022553555,0.017821901555157827
mitigation_condition_reranking,Asian,White,0.7527675421468492,0.645512645738164,0.877843333126055,-3.6213103508502194,2.9311463657582523e-4,2.9311463657582523e-4,0.023437329506683355
mitigation_condition_reranking,Black,White,0.8705941067772012,0.7608863792216223,0.9961199457014205,-2.016571353401288,0.04374026500511171,0.04374026500511171,0.023437329506683355
mitigation_condition_reranking,Mixed,White,0.9366339665025928,0.8136300685589676,1.0782334885436935,-0.911356474544719,0.36210757911223357,0.36210757911223357,0.023437329506683355
mitigation_condition_reranking,Other,White,0.8246046688325114,0.6567325186347756,1.0353878338077618,-1.6605582557504652,0.09680219872318288,0.09680219872318288,0.023437329506683355
