term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
model_and_mitigation_anthropic/claude-sonnet-4__none,Conservative,Labour,1.411205750596101,1.1928986901804082,1.669464210925003,4.01712581949039,5.891227361246921e-5,5.891227361246921e-5,0.12784213305510544
model_and_mitigation_anthropic/claude-sonnet-4__none,Did not vote,Labour,0.43341380609093666,0.3355335788936938,0.5598471781262383,-6.401829801414458,1.535257559948657e-10,1.535257559948657e-10,0.12784213305510544
model_and_mitigation_anthropic/claude-sonnet-4__none,Greens,Labour,1.3587984989844994,1.100324902224139,1.6779892530928342,2.8481085906662926,0.004397991522959912,0.004397991522959912,0.12784213305510544
model_and_mitigation_anthropic/claude-sonnet-4__none,Liberal Democrats,Labour,1.254489570849046,1.0339655854027043,1.5220468704053518,2.298632629215287,0.02152580908983689,0.02152580908983689,0.12784213305510544
model_and_mitigation_anthropic/claude-sonnet-4__none,Not eligible to vote,Labour,0.22253379224028844,0.10917853783574223,0.45358080141490825,-4.136032134679364,3.533627289749453e-5,3.533627289749453e-5,0.12784213305510544
model_and_mitigation_anthropic/claude-sonnet-4__none,Other,Labour,1.1583979435241287,0.8172965594735205,1.6418591024356395,0.8262662304937769,0.4086530852692344,0.4086530852692344,0.12784213305510544
model_and_mitigation_anthropic/claude-sonnet-4__none,Reform UK,Labour,0.6773171988177155,0.5239349196944818,0.8756022371667631,-2.9740231709898235,0.0029392287923423236,0.0029392287923423236,0.12784213305510544
model_and_mitigation_anthropic/claude-sonnet-4__none,Scottish National Party,Labour,2.033603408228255,1.33453140005133,3.09887262435227,3.302778213445934,9.573207103103697e-4,9.573207103103697e-4,0.12784213305510544
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Conservative,Labour,1.487825625744994,1.2532612562309697,1.766291809962027,4.538989109536049,5.65245549585831e-6,5.65245549585831e-6,0.14180803097889813
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Did not vote,Labour,0.34268221965326573,0.2568519211146552,0.45719379149229483,-7.280741153873114,3.3199114581834345e-13,3.3199114581834345e-13,0.14180803097889813
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Greens,Labour,1.356842595553367,1.0917437695875765,1.6863131078856288,2.7514162395793336,0.0059338192453771066,0.0059338192453771066,0.14180803097889813
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Liberal Democrats,Labour,1.3907865223148537,1.14582960218481,1.6881106466131124,3.337165136898445,8.463764372078167e-4,8.463764372078167e-4,0.14180803097889813
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Not eligible to vote,Labour,0.3654004185893226,0.20258623344514481,0.6590648517161225,-3.345470237838299,8.214317442830582e-4,8.214317442830582e-4,0.14180803097889813
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Other,Labour,1.1507853368667584,0.7976356947860409,1.660290406013955,0.7509834942620074,0.4526625893811327,0.4526625893811327,0.14180803097889813
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Reform UK,Labour,0.6160096412262299,0.46721991905328747,0.8121825774307138,-3.4348436151018604,5.928958730125648e-4,5.928958730125648e-4,0.14180803097889813
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Scottish National Party,Labour,1.3048359478036762,0.7747870100058131,2.1975030927118193,1.0005124587709209,0.31706257136763744,0.31706257136763744,0.14180803097889813
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Conservative,Labour,1.599927296563705,1.3656089793657384,1.8744511737748955,5.816691763293049,6.002367606323337e-9,6.002367606323337e-9,0.1434779261281023
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Did not vote,Labour,0.3924807781227374,0.305001823314577,0.5050499682979022,-7.269406019133561,3.610716230861508e-13,3.610716230861508e-13,0.1434779261281023
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Greens,Labour,1.225884225238589,0.9964471447892475,1.508150373602267,1.9263355724926021,0.054062486427192163,0.054062486427192163,0.1434779261281023
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Liberal Democrats,Labour,1.2289868803945097,1.0205550616053003,1.4799875175828383,2.1745861908421045,0.02966114007398241,0.02966114007398241,0.1434779261281023
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Not eligible to vote,Labour,0.1744350067746049,0.08172092834872102,0.3723351190849837,-4.5138064110065885,6.36743432871869e-6,6.36743432871869e-6,0.1434779261281023
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Other,Labour,1.1665009388637142,0.8333166861644761,1.6329019482772646,0.897448355947684,0.3694797193083044,0.3694797193083044,0.1434779261281023
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Reform UK,Labour,0.5988961128182375,0.46262378157873435,0.7753093728229612,-3.8920557745503546,9.939838608948108e-5,9.939838608948108e-5,0.1434779261281023
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Scottish National Party,Labour,1.7760637115371507,1.1603152002251047,2.7185736313952926,2.644590933648562,0.00817897271157007,0.00817897271157007,0.1434779261281023
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Conservative,Labour,1.4965524119449631,1.2729503409638079,1.7594316523003817,4.883009287116146,1.0447894816524165e-6,1.0447894816524165e-6,0.13865754255183238
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Did not vote,Labour,0.3338532861026962,0.2524255836796883,0.4415480198829676,-7.690770326287018,1.4625176793805325e-14,1.4625176793805325e-14,0.13865754255183238
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Greens,Labour,1.256783085409883,1.018757970191964,1.5504209733689347,2.133476458059352,0.03288566085693534,0.03288566085693534,0.13865754255183238
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Liberal Democrats,Labour,1.1315726149958547,0.9336655982857535,1.3714295411114272,1.2602252940384409,0.20758810068214997,0.20758810068214997,0.13865754255183238
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Not eligible to vote,Labour,0.22594296858381918,0.11097243179091873,0.4600261905465996,-4.100482569616537,4.122894907024377e-5,4.122894907024377e-5,0.13865754255183238
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Other,Labour,1.1440856133114712,0.8051634527540632,1.6256722608422938,0.7509690662069323,0.4526712726715822,0.4526712726715822,0.13865754255183238
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Reform UK,Labour,0.5580166545640445,0.42626855447378437,0.7304845349318354,-4.245512619844805,2.1809423285757476e-5,2.1809423285757476e-5,0.13865754255183238
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Scottish National Party,Labour,2.1871400269355905,1.4595627374822409,3.277407249842194,3.7924487418820165,1.4916904721655472e-4,1.4916904721655472e-4,0.13865754255183238
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Conservative,Labour,1.5698864085646165,1.3368818638086808,1.8435012116737095,5.501979810353677,3.755499690743032e-8,3.755499690743032e-8,0.13296141244520343
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Did not vote,Labour,0.3299087155230163,0.24868329195427383,0.4376641459212274,-7.69018208717936,1.4692577262332316e-14,1.4692577262332316e-14,0.13296141244520343
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Greens,Labour,1.0630487204082106,0.8511485024745782,1.3277031900732115,0.539051074737681,0.5898516130537688,0.5898516130537688,0.13296141244520343
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Liberal Democrats,Labour,1.262799510437843,1.048980118133745,1.520202886589636,2.4652161391453977,0.013693062448216935,0.013693062448216935,0.13296141244520343
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Not eligible to vote,Labour,0.1671751649375501,0.07393595399093929,0.37799655327801684,-4.2972459848390985,1.7293325457496086e-5,1.7293325457496086e-5,0.13296141244520343
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Other,Labour,0.8312051278443051,0.5603245646248947,1.233038863854179,-0.9188604658659585,0.35816856067392366,0.35816856067392366,0.13296141244520343
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Reform UK,Labour,0.653186623902101,0.5074741770948126,0.8407378836241992,-3.3070233408636387,9.429303488611763e-4,9.429303488611763e-4,0.13296141244520343
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Scottish National Party,Labour,1.0896362709796972,0.6397455673331534,1.8559053218359214,0.31595318323879557,0.7520380435314779,0.7520380435314779,0.13296141244520343
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Conservative,Labour,1.4784903730601127,1.2537835181133055,1.7434698667285293,4.648926190542857,3.336675785627508e-6,3.336675785627508e-6,0.1155415803862142
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Did not vote,Labour,0.4302096882899606,0.33161247174936254,0.5581224823125212,-6.3510931922756315,2.1379013644998638e-10,2.1379013644998638e-10,0.1155415803862142
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Greens,Labour,1.2994953350827223,1.050987360964075,1.6067634955692673,2.419235823770685,0.015553153409228065,0.015553153409228065,0.1155415803862142
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Liberal Democrats,Labour,1.1529998873864054,0.9500226209751299,1.3993443008215123,1.4410476271657195,0.14957122797351433,0.14957122797351433,0.1155415803862142
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Not eligible to vote,Labour,0.292688776703284,0.15430002384785346,0.5551957664798286,-3.7614868962650987,1.6890627161302385e-4,1.6890627161302385e-4,0.1155415803862142
