term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
model_and_mitigation_anthropic/claude-sonnet-4__none,0.9827513175406103,0.9152430458495279,1.0552389952674817,-0.4791830126145646,0.6318084380717219,-0.3135586632806081,-1.5912559254110477,0.9641385988498311
model_and_mitigation_anthropic/claude-sonnet-4__prompting,0.8703601341474494,0.8089135502130255,0.9364743153501055,-3.7169623805484546,2.0163245277482695e-4,-2.42156222774407,-3.658980015929022,-1.1841444395591183
model_and_mitigation_anthropic/claude-sonnet-4__reranking,0.9103474011439957,0.8502014788084098,0.9747482348903079,-2.6933364918928433,0.007074083385342319,-1.6583909974092925,-2.840850440423896,-0.4759315543946889
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,0.8302429823893027,0.7759405658902568,0.8883456286575612,-5.390481874250209,7.026900343165869e-8,-3.202384159126892,-4.320190938700062,-2.0845773795537226
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,0.8366573575503907,0.7818260427503481,0.895334122512371,-5.156818251980392,2.5118139261396857e-7,-3.076498477559117,-4.201010493792387,-1.951986461325847
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,0.8439372760210321,0.7879404670624971,0.9039136275270245,-4.843899641128419,1.273152575774701e-6,-2.934108385293996,-4.077704083051063,-1.790512687536929
model_and_mitigation_openai/chatgpt-4o-latest__none,0.7443309187152733,0.6951441872169283,0.7969979850851165,-8.464939449051235,2.5628580518565038e-17,-4.9278005112738414,-5.996215236962196,-3.859385785585487
model_and_mitigation_openai/chatgpt-4o-latest__prompting,0.77047115069578,0.7211754450130855,0.8231364478080755,-7.729407301896969,1.0804845395594225e-14,-4.39493383098479,-5.448039554904003,-3.341828107065577
model_and_mitigation_openai/chatgpt-4o-latest__reranking,0.8245716003676506,0.7690955056863137,0.8840492749026448,-5.428088884531676,5.6960672898772834e-8,-3.314021417509297,-4.46015093054221,-2.1678919044763836
