term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
model_anthropic/claude-sonnet-4,0.8732004050077892,0.8542826930765838,0.8925370412922706,-12.133167783850599,7.046968727470817e-34,-2.4126449595095636,-2.7961075093109464,-2.0291824097081803
model_deepseek/deepseek-chat-v3-0324,0.8257756008912992,0.8078886791232133,0.8440585450057868,-17.133376699783827,8.365530843464429e-66,-3.3550456904874126,-3.7304508940367493,-2.979640486938076
model_openai/chatgpt-4o-latest,0.8098021435128474,0.7923264056559998,0.8276633303607437,-18.95281808865696,4.185565941623408e-80,-3.677607709315625,-4.049020625537375,-3.306194793093875
