model,term,ame_pence,ame_low_pence,ame_high_pence,statistic,p
rq1_primary,paragraph_type_ai_vs_human,1.5574194440169353,1.1647269693139275,1.9501119187199432,7.773222599705212,7.65141073913627e-15
rq1_with_stance_distance,paragraph_type_ai_vs_human,1.5286543316867371,1.1510301780704122,1.906278485303062,7.934099040606566,2.120288493876015e-15
rq1_with_stance_distance,stance_distance,-0.06225278715807968,-0.07086859305989483,-0.05363698125626451,-14.161556348590468,1.584457561695039e-45
rq1_with_presentation_order,paragraph_type_ai_vs_human,1.5559047159433574,1.1636892990215186,1.9481201328651965,7.775107951028642,7.538309293724517e-15
rq1_with_presentation_order,presentation_order,0.20895331206295847,0.034359945516638825,0.3835466786092781,2.3456845709261587,0.01899217265522721
