model,condition,mean_stance_shift,conf.low,conf.high,p
rq2_binned,control,-0.0128374325912866,-0.5389278892772933,0.5132530240947202,0.9618547586914798
rq2_binned,human-low,4.448889525356652,3.9168404391168563,4.980938611596447,2.298170142692037e-60
rq2_binned,human-high,1.3491273562291168,0.8188512536171404,1.8794034588410933,6.147136484507847e-7
rq2_binned,ai-low,4.409777771384076,3.8762262731759933,4.943329269592158,5.124611947073342e-59
rq2_binned,ai-high,4.214761507282506,3.6859966421061836,4.743526372458828,5.093007156330564e-55
