model,term,ame,ame_low,ame_high,statistic,p
rq1_primary,paragraph_type3_ai_vs_control,4.3254041817478885,3.898044703141173,4.752763660354605,19.837249058904067,1.4202031785967708e-87
rq1_primary,paragraph_type3_human_vs_control,2.9126616492461697,2.485368808783572,3.3399544897087674,13.36018624953588,1.0330534357568899e-40
rq1_primary,paragraph_type_ai_vs_human,1.4127425325017184,1.063871795707658,1.7616132692957789,7.936820693464411,2.074295830930755e-15
