model,term,ame,ame_low,ame_high,statistic,p
secondary_stance_alignment,paragraph_type_ai_vs_human,0.9561631499938723,0.6050452434509774,1.3072810565367672,5.3373675976375,9.430572085755042e-8
secondary_stance_alignment,stance_distance,0.16965152540297934,0.16158727189800645,0.17771577890795223,41.232691842719944,0
secondary_presentation_order,paragraph_type3_ai_vs_control,4.323019488078363,3.895650398367314,4.750388577789412,19.82586645849159,1.7808766162133453e-87
secondary_presentation_order,paragraph_type3_human_vs_control,2.9120029296978593,2.484717575140915,3.3392882842548035,13.357398759901331,1.0724682856109636e-40
secondary_presentation_order,paragraph_type_ai_vs_human,1.411016558380504,1.0621410548077037,1.7598920619533045,7.927015819952391,2.244747021498412e-15
secondary_presentation_order,presentation_order,0.06550028332229359,-0.044843125356343994,0.17584369200093117,1.1634423643985081,0.24465006960451716
secondary_clear_stance_rq1,paragraph_type3_ai_vs_control,4.989079121919091,4.550235309891997,5.427922933946185,22.28222234651999,5.496212967006049e-110
secondary_clear_stance_rq1,paragraph_type3_human_vs_control,3.7105368229186633,3.260632366505326,4.160441279332001,16.164584352436,8.964045453347336e-59
secondary_clear_stance_rq1,paragraph_type_ai_vs_human,1.2785422990004278,0.8932883143679049,1.6637962836329507,6.504531967767045,7.793564253573361e-11
secondary_clear_stance_rq2,condition5_ai-high_vs_control,4.886972216190955,4.367950386882338,5.405994045499572,18.454502289318537,4.7976439670230485e-76
secondary_clear_stance_rq2,condition5_ai-low_vs_control,5.090692589410369,4.5758117729609085,5.60557340585983,19.378414990119637,1.1740770278539889e-83
secondary_clear_stance_rq2,condition5_human-high_vs_control,2.1726359593017373,1.6180243406685229,2.7272475779349517,7.677964342402646,1.6163646571873544e-14
secondary_clear_stance_rq2,condition5_human-low_vs_control,4.937969051572655,4.4190695550405055,5.456868548104805,18.651475984340575,1.22838846920287e-77
secondary_clear_stance_rq2,dose_response_ai_vs_human_high_minus_low,2.5616127190514524,1.7893047749526008,3.333920663150304,6.500863690504709,7.986016957625628e-11
secondary_movement_toward_stance_rq1,paragraph_type_ai_vs_human,1.461281232205096,1.1544344865525389,1.7681279778576533,9.333840514799775,1.0210263440205302e-20
secondary_movement_toward_stance_rq2,dose_response_ai_vs_human_high_minus_low,2.328314696520799,1.7155882835820697,2.9410411094595283,7.447717045474253,9.496923025717977e-14
