model,random_effects,term,estimate,conf.low,conf.high,statistic,p
rq2_binned,(1 | reader_id) + (1 | proposition_id),(Intercept),-0.012837432591288146,-0.5389286826092228,0.5132538174266466,-0.047826124331145435,0.9618548161696633
rq2_binned,(1 | reader_id) + (1 | proposition_id),condition5human-low,4.461726957947964,3.9646862924496413,4.958767623446287,17.59378005351349,2.749121596404625e-69
rq2_binned,(1 | reader_id) + (1 | proposition_id),condition5human-high,1.3619647888204605,0.864784997985274,1.859144579655647,5.369087769669022,7.913590177623939e-8
rq2_binned,(1 | reader_id) + (1 | proposition_id),condition5ai-low,4.422615203976246,3.924900411176012,4.920329996776481,17.41593105662787,6.246442844518063e-68
rq2_binned,(1 | reader_id) + (1 | proposition_id),condition5ai-high,4.227598939873465,3.7300731446711954,4.725124735075734,16.654295602629105,2.8164065754681333e-62
rq2_continuous,(1 | reader_id) + (1 | proposition_id),(Intercept),5.879043642768547,5.146787595288034,6.61129969024906,15.735908010609036,8.581679826648004e-56
rq2_continuous,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,-1.274582383149723,-2.02683691129336,-0.5223278550060857,-3.3208647776004994,8.973900441799868e-4
rq2_continuous,(1 | reader_id) + (1 | proposition_id),distortion_magnitude,-0.1953364470537974,-0.22730357249963995,-0.16336932160795486,-11.97644128941376,4.721601211860406e-33
rq2_continuous,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai:distortion_magnitude,0.17755132200237245,0.1339662083611504,0.2211364356435945,7.98424433160126,1.4138573213354324e-15
