model,term,ame,ame_low,ame_high,statistic,p,distortion_bin
rq2_binned,condition5_ai-high_vs_control,4.227598939873465,3.7300731416944033,4.725124738052526,16.654295502983263,2.8164112661186305e-62,NA
rq2_binned,condition5_ai-low_vs_control,4.422615203976246,3.9249004082379426,4.92032999971455,17.415930953819572,6.246454065432108e-68,NA
rq2_binned,condition5_human-high_vs_control,1.3619647888204605,0.8647849968197887,1.8591445808211322,5.369087757082847,7.913590729838535e-8,NA
rq2_binned,condition5_human-low_vs_control,4.461726957947964,3.9646862918289054,4.958767624067023,17.593780031541268,2.749122662556475e-69,NA
rq2_binned,paragraph_type_ai_vs_human,-0.03911175397257605,-0.5316334448860198,0.4534099369408677,-0.1556431535355715,0.8763143078211597,low_distortion
rq2_binned,paragraph_type_ai_vs_human,2.8656341510533894,2.373386992383664,3.3578813097231146,11.409999285950358,3.7273237699374594e-30,high_distortion
rq2_binned,dose_response_ai_vs_human_high_minus_low,2.9047459050259654,2.20825336699001,3.601238443061921,8.174096701948002,2.980906687670778e-16,NA
rq2_continuous,paragraph_type_ai_vs_human,1.4158255516610003,1.0560747578539469,1.7755763454680538,7.713581560949724,1.2233511323395937e-14,NA
rq2_continuous,distortion_magnitude,-0.10656078605264396,-0.13022661748020856,-0.08289495462507936,-8.825183407002449,1.0928056776916533e-18,NA
rq2_continuous,ai_advantage_growth_per_1_distortion,0.17755132200237211,0.13396620985567692,0.2211364341490673,7.9842446053797715,1.4138541837004508e-15,NA
rq2_continuous,ai_advantage_growth_per_1sd_distortion,1.4701894990303215,1.109288919080285,1.831090078980358,7.984244494556741,1.4138554537854898e-15,NA
