distortion_magnitude,ame,lower,upper,statistic,p
5.798913636363635,-0.24497760083577447,-0.7888625841925558,0.2989073825210069,-0.882810317162548,0.3773387652070635
5.989045123503946,-0.211219503939736,-0.7489173047064934,0.32647829682702145,-0.7699168937718529,0.4413491920053532
6.179176610644257,-0.17746140704369662,-0.7090292031022718,0.35410638901487856,-0.6543247522337128,0.5129026022171168
6.369308097784567,-0.14370331014765636,-0.6692002898270913,0.3817936695317786,-0.5359751306666131,0.591975738299082
6.559439584924878,-0.10994521325161877,-0.6294326170219944,0.40954219051875684,-0.414810169951684,0.6782808740461719
6.749571072065189,-0.0761871163555794,-0.5897283574002147,0.4373541246890559,-0.29077314966787515,0.7712248219387756
6.939702559205499,-0.04242901945953914,-0.5500897292594333,0.46523169034035505,-0.16380891495980637,0.8698815733621339
7.12983404634581,-0.00867092256350066,-0.5105190329844049,0.4931771878574036,-0.033864222230394404,0.9729854233384421
7.319965533486121,0.02508717433253871,-0.4710186623125428,0.5211930109776202,0.09911183165706262,0.9210494780401168
7.510097020626431,0.058845271228578966,-0.4315910974163986,0.5492816398735565,0.23516733187459732,0.8140788604097224
7.700228507766742,0.09260336812461745,-0.3922388719814015,0.5774456082306364,0.37434705839917476,0.7081461253956763
7.890359994907053,0.12636146502065593,-0.352964628920476,0.6056875589617878,0.5166919214388108,0.605371236358579
8.080491482047364,0.1601195619166953,-0.313771098101306,0.6340102219346966,0.6622383622524504,0.5078184721899348
8.270622969187674,0.19387765881273555,-0.2746611010201939,0.662416418645665,0.8110177028158853,0.4173555045896204
8.460754456327985,0.22763575570877492,-0.23563750902195324,0.6909090204395031,0.9630555370858288,0.3355196533359491
8.650885943468296,0.2613938526048134,-0.19670330240192596,0.7194910076115528,1.1183709204176753,0.2634086086765865
8.841017430608606,0.2951519495008528,-0.15786157656776173,0.7481654755694673,1.276975537593191,0.20161088376032163
9.031148917748917,0.32891004639689214,-0.11911544846328093,0.7769355412570652,1.4388731277279205,0.15018647243553088
9.221280404889228,0.3626681432929315,-0.08046814995986179,0.8058044365457249,1.6040584127661643,0.10870117759141333
9.411411892029538,0.3964262401889709,-0.04192298934644012,0.8347754697243819,1.7725162973834794,0.07630889241359311
9.601543379169849,0.43018433708501025,-0.0034833603394395785,0.86385203450946,1.94422091478636,0.05186881671684624
9.79167486631016,0.4639424339810496,0.03484729438156636,0.8930375735805329,2.1191348435022075,0.03407907279956961
9.98180635345047,0.49770053087708854,0.07306545230729167,0.9223356094468854,2.297208037760405,0.021606904829922412
10.17193784059078,0.5314586277731279,0.11116752845223016,0.9517497270940256,2.478376942532165,0.013198162951644778
10.362069327731092,0.5652167246691673,0.1491498871129472,0.9812835622253874,2.6625636167447975,0.007754790945136432
10.552200814871401,0.5989748215652062,0.18700884894168057,1.0109407941887318,2.849674866198084,0.004376394118536438
10.742332302011713,0.6327329184612456,0.2247406859126469,1.0407251510098443,3.0396013283641103,0.002368914993048106
10.932463789152024,0.6664910153572849,0.2623416592511346,1.0706403714634352,3.232216917788951,0.001228337733922253
11.122595276292333,0.7002491122533239,0.29980799570330446,1.1006902288033433,3.4273779177499235,6.094402658143193e-4
11.312726763432645,0.7340072091493632,0.3371359198575091,1.1308784984412172,3.6249225709737893,2.8904803909200847e-4
11.502858250572956,0.7677653060454026,0.3743216669861197,1.1612089451046854,3.8246706746264705,1.30947006279349e-4
11.692989737713265,0.8015234029414415,0.4113614897016125,1.1916853161812706,4.026423259734114,5.6631710305203815e-5
11.883121224853577,0.8352814998374809,0.44825167337327687,1.222311326301685,4.229962511133433,2.3373025969486508e-5
12.073252711993888,0.8690395967335203,0.48498855710074457,1.253090636366296,4.435051946130834,9.20500902852455e-6
12.263384199134197,0.9027976936295592,0.5215685497512531,1.2840268375078652,4.641436766451927,3.4599490703646943e-6
12.453515686274509,0.9365557905255986,0.5579881426296613,1.3151234384215358,4.848844398471146,1.2418278066568984e-6
12.64364717341482,0.9703138874216379,0.5942439238280772,1.3463838510151986,5.056985287718485,4.2593608400624496e-7
12.83377866055513,1.0040719843176769,0.6303326182152885,1.3778113504200653,5.265554302377612,1.3976699742544636e-7
13.02391014769544,1.0378300812137162,0.666251079010389,1.4094090834170434,5.474231776256567,4.394136400376851e-8
13.214041634835752,1.0715881781097556,0.7019963207972371,1.4411800354222741,5.682685356290381,1.3259608045130526e-8
13.404173121976061,1.1053462750057945,0.7375655342465244,1.4731270157650647,5.890571879822547,3.848614223698808e-9
13.594304609116373,1.139104371901834,0.7729561074507482,1.5052526363529197,6.097539604364204,1.077134385298226e-9
13.784436096256684,1.1728624687978733,0.8081656427745515,1.537559294821195,6.303230611377906,2.915046603634136e-10
13.974567583396993,1.2066205656939122,0.843191970473046,1.5700491609147784,6.507283364227779,7.652198714248234e-11
14.164699070537306,1.240378662589952,0.8780331654675841,1.6027241597123199,6.709335496577893,1.9551268766577634e-11
14.354830557677616,1.274136759485991,0.9126875661555733,1.6355859528164085,6.909026790075725,4.879898072828687e-12
14.544962044817925,1.3078948563820298,0.947153779271608,1.6686359334924517,7.1060019962442675,1.194526867768322e-12
14.735093531958238,1.3416529532780697,0.9814306947839169,1.7018752117722225,7.2999138897451,2.879519553494384e-13
14.925225019098548,1.3754110501741086,1.0155174936214508,1.7353046067267663,7.490426191848854,6.8650323438893e-14
15.115356506238857,1.4091691470701475,1.0494136548798896,1.7689246392604054,7.677216432659391,1.625826160169674e-14
15.30548799337917,1.4429272439661873,1.0831189592436954,1.8027355286886793,7.859978634640316,3.8419898659697096e-15
15.49561948051948,1.4766853408622262,1.1166334905414128,1.8367371911830397,8.03842580453171,9.099993309774773e-16
