proposition_leaning,term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
left,paragraph_type_model,Female,Male,1.0952000560036343,1.0494111660292307,1.1429868496719937,4.173393865243456,3.0009549116443864e-5,3.0009549116443864e-5
left,paragraph_type_model,Other,Male,1.1049751035041517,0.9464409030413324,1.2900646785662953,1.2633386855868403,0.2064674890306931,0.2064674890306931
