proposition_leaning,term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
right,paragraph_type_model,Female,Male,1.075809427376455,1.0306898224150105,1.1229041937371909,3.342832295682997,8.29280006691536e-4,8.29280006691536e-4
right,paragraph_type_model,Other,Male,1.2758570909950384,1.0898136459688534,1.4936602442660587,3.0295488376579756,0.002449193020811412,0.002449193020811412
