distortion,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,std
extreme_more,25.0254110612855,23.213153961136022,26.922720478325857,19.0,15.0,20.0,24.54028119674887
moderate_more,42.26457399103139,40.25037369207773,44.34689835575485,48.0,45.0,50.0,26.471094007793525
informative_more,73.15545590433483,71.57346786248132,74.79230194319881,77.0,75.0,79.0,22.052055744392995
informative_less,14.681614349775785,13.300373692077729,16.12727952167414,9.0,7.0,10.0,18.705053267747058
clarity_more,79.21823617339312,77.70986547085201,80.76547085201794,82.0,80.0,85.0,19.982782166450278
clarity_less,9.328849028400597,8.259902840059791,10.378774289985051,3.0,2.0,4.0,14.742178135820069
open_views_more,46.6711509715994,44.898355754857995,48.60149476831091,50.0,50.0,50.0,25.166084641601508
open_views_less,26.5440956651719,24.947496263079223,28.24233931240658,24.0,20.0,28.0,21.634413052139756
