writer_id,extreme_more,moderate_more,informative_more,informative_less,clarity_more,clarity_less,open_views_more,open_views_less
668beb6686792d45c448172f,28,62,73,19,74,14,43,58
642b083df2d7cd6133db4899,50,36,67,6,67,3,64,30
5edfd24f21501a2e9bfcbc3b,16,57,66,23,63,25,54,40
649d86ddd157cceeebeea50b,17,65,83,6,83,4,63,9
66621931f6468a49ccbfa33a,6,0,57,0,72,0,19,34
5d4b085ef76ba3001c7510de,0,0,100,0,98,0,50,51
64480f31061b43c4562401ce,100,30,75,15,77,10,8,87
559bbbdafdf99b7ce19d5b3d,30,48,88,6,83,8,61,23
6745d0e515f67b1e4a4b756e,25,25,100,0,100,0,5,5
6604764cc6719060ae2f667c,39,46,55,46,56,52,47,79
5fb4f7b816ba5b1868ac6bd2,4,68,100,0,100,0,100,0
66c33e386baa1ae990d7165d,75,80,90,20,75,10,75,30
5c98a9e305f102001640f1d0,0,58,83,0,100,1,59,11
60da18693053b2c1d420085f,10,9,10,4,80,7,13,72
5f204db86a1b2a30a723f56c,38,66,80,90,96,1,57,44
67ec682ee20a5c164c2cb5bc,20,37,60,0,90,0,80,0
5dda963d4a113a9ee054101d,8,14,87,2,100,0,12,7
665f1d07718fd2f868db3aa9,0,0,85,0,90,0,30,34
5c5865627607d00001432199,21,33,93,2,92,0,23,14
5c90bd2e0791df0001366514,13,8,32,9,91,8,44,54
56b4b530b2de2a000632cc5f,3,65,94,6,95,6,36,0
63ea46ac57c552d3b4ff83bc,0,9,74,0,90,0,56,24
665616e56ffa0791b8ec371f,11,45,60,25,80,10,50,40
59995d926c165e000113fb21,19,52,51,27,78,0,73,15
5f85a45f06a86a03173750e6,1,2,6,0,23,0,1,1
63d6f725f81a32a4bbce7c89,42,64,67,19,66,16,69,32
640245021965fa67eb729953,5,5,69,2,85,0,12,7
5942d73df8bfc00001985c3c,38,49,79,26,72,33,47,37
59ce5e24aeef3b0001021a58,0,2,51,27,73,10,63,22
5e3e14086704e80977b7d715,72,46,99,15,97,0,8,98
66902beeac0559a80fe53186,7,52,94,2,56,1,79,7
6536703ac10503ed6afd56ee,17,66,71,5,81,7,51,49
5e74b454df5a7141fe319841,20,34,60,13,85,0,38,46
5bfe0d18e373c90001b57c71,0,0,70,0,65,0,0,0
664360aecf9dfaef5b770244,33,49,88,0,58,0,0,0
68a83eface48a4e4cd943a38,46,57,62,31,54,21,71,14
5aa50441b5e2110001c72b89,40,59,90,7,80,6,89,6
5fb2ba6d5ac8a2924777eb4e,38,47,88,0,70,9,51,47
5eb06e5ac2728b106d4f25e2,15,34,100,0,82,0,6,0
673e49a40c248822d47e01e4,68,75,73,73,82,23,62,67
66719ec1af19f9bae0404052,75,84,82,25,82,25,20,74
6683c48e031b35373bd3ff0c,18,18,69,0,73,0,6,4
5f5aa9f89a3ef61b0778d49a,55,45,73,30,74,30,64,28
676580dc3295097751741abc,13,71,50,21,92,5,46,56
5c9ade667bc68a00134ceca8,0,0,87,0,85,0,46,46
68a71385ae89bd94c033c193,48,61,57,68,61,67,61,52
68d2ae84d7e98d0bb2416f27,36,52,70,21,75,21,62,30
67407c617ee8b91996aed6ae,52,51,82,29,81,28,48,26
5f09db2ef3557806b03a9b8b,3,70,79,4,72,4,75,6
668c39cf43ce2932522f9d37,25,44,100,0,89,0,40,41
5fc3f52bc7a6322df9a0f857,81,95,100,0,98,0,100,0
5e94aaa6dd28ad0812ff44e3,63,52,83,15,78,23,61,30
606cc5fb30c86cca36c21a24,0,0,60,0,90,0,10,0
5f4d968cacc80fa73143cdf3,33,42,76,17,84,16,27,21
6760a9c7c29e33fde25bb755,0,0,0,0,0,0,0,0
68964d2d26b7f42954329beb,10,41,86,9,86,8,49,49
5d7cc2a885d34b0001657ea7,25,25,75,0,60,0,50,50
67768d5e8b0341abb0f7ef1f,15,40,75,0,95,0,45,35
5e9430cc1ed15800084ffbb0,5,97,99,0,100,0,51,15
6457abf2901da540ba46b6fd,1,3,55,1,67,5,13,7
6655f0b0a20460cfba948ca9,6,4,20,0,28,0,5,2
5bb609520cb04c00014efb8a,0,20,15,15,30,6,26,15
5c8d2f74e775150016db3700,58,60,74,13,94,3,59,38
5f3fbbb2edd4d20456a952a4,60,40,70,0,100,0,50,50
676acaa010ba72df3ec0d6fb,55,76,79,16,92,14,46,50
65e1ea2eb47940a1f1af8c90,80,21,82,17,78,15,65,30
60fc47a77f054a5c6b167d70,0,4,70,0,92,0,16,16
