term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
model_anthropic/claude-sonnet-4,0.8723794982961659,0.8581639517188839,0.8868305264082829,-16.287623914838164,1.2083340113560101e-59,-3.3022457436171324,-3.6969305255408758,-2.907560961693389
model_deepseek/deepseek-chat-v3-0324,0.9001663000642169,0.8853308813076779,0.9152503147461086,-12.404609526878826,2.4671251001179333e-35,-2.551240332842192,-2.952322769279081,-2.1501578964053025
model_openai/chatgpt-4o-latest,0.9201457631020518,0.9052522041646662,0.9352843566240546,-9.995668762736484,1.592089199083788e-23,-2.0226471702826156,-2.4177936601881833,-1.6275006803770475
