term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
model_anthropic/claude-sonnet-4,1.557379505233611,1.521302225885993,1.59431234770536,37.0456714276955,2.1084897422183447e-300,7.924746074737099,7.52490653379021,8.324585615683988
model_deepseek/deepseek-chat-v3-0324,1.511439333524813,1.4760377342753588,1.547690012171302,34.15821175106284,1.0098826124893973e-255,7.448168045850889,7.0401517266520885,7.85618436504969
model_openai/chatgpt-4o-latest,1.455686147265656,1.422181928140463,1.4899796695573264,31.604841720088288,3.16776080431533e-219,6.837754177359468,6.430672986123369,7.244835368595566
