term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
model_anthropic/claude-sonnet-4,0.8751266784910654,0.8543400635405,0.8964190444646046,-10.87521665926007,1.5129591730126738e-27,-2.375746418258759,-2.797005151155774,-1.9544876853617439
model_deepseek/deepseek-chat-v3-0324,0.8317311483760789,0.8117343588891077,0.8522205517156083,-14.838674838768783,8.236699450395077e-50,-3.236703921455883,-3.654635012190884,-2.8187728307208815
model_openai/chatgpt-4o-latest,0.8136264942877203,0.7944453048141258,0.8332707968634913,-16.944529126016672,2.1121847736942265e-64,-3.6015426344388675,-4.008374759843834,-3.1947105090339005
