term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Moderately Left-Wing,Centrist,1.0662567684784015,1.011351382469096,1.124142920090134,2.3784745472217463,0.017384437058037362,0.017384437058037362
input_condition_bullets-based,Moderately Right-Wing,Centrist,1.059725363095929,0.9996907068087524,1.1233652944256483,1.9496036089041102,0.0512233829279907,0.0512233829279907
input_condition_bullets-based,Other,Centrist,0.6296415679539569,0.5714773134947722,0.6937257083244547,-9.354616707727635,8.390337512148515e-21,8.390337512148515e-21
input_condition_bullets-based,Very Left-Wing,Centrist,1.3344905569528034,1.2461489077376542,1.429094898321028,8.257311613109724,1.4899009128690423e-16,1.4899009128690423e-16
input_condition_bullets-based,Very Right-Wing,Centrist,1.030783324461922,0.9428306312469207,1.1269407534877884,0.6662950504448211,0.505222528622804,0.505222528622804
input_condition_improve,Moderately Left-Wing,Centrist,0.9564634360590862,0.8919182017809574,1.0256796000925443,-1.2487083928168874,0.21177175002900023,0.21177175002900023
input_condition_improve,Moderately Right-Wing,Centrist,1.092375375302498,1.0136870533188418,1.1771719453853398,2.3164014699050393,0.02053635857783294,0.02053635857783294
input_condition_improve,Other,Centrist,0.6288585937718303,0.5535262043415369,0.7144433774930649,-7.125100422483583,1.0400483020466296e-12,1.0400483020466296e-12
input_condition_improve,Very Left-Wing,Centrist,1.0383522360452688,0.9448525294156502,1.1411043866993864,0.781725016724702,0.43437619626270085,0.43437619626270085
input_condition_improve,Very Right-Wing,Centrist,0.8859579665098954,0.7845235790951777,1.0005072369241348,-1.951825735885388,0.050958897680718665,0.050958897680718665
input_condition_rewrite,Moderately Left-Wing,Centrist,0.968514322213204,0.9027636845659878,1.0390537505760036,-0.8919224625168506,0.37243449383014837,0.37243449383014837
input_condition_rewrite,Moderately Right-Wing,Centrist,0.976682198383246,0.9038062028282404,1.0554343549023102,-0.5963422375976223,0.5509466198337054,0.5509466198337054
input_condition_rewrite,Other,Centrist,0.6776876418858666,0.5979557086750441,0.7680511002770765,-6.0923234403681565,1.1128355244890601e-9,1.1128355244890601e-9
input_condition_rewrite,Very Left-Wing,Centrist,0.9187953663060016,0.8322144931967609,1.0143838301861785,-1.6771813218861942,0.0935070303335853,0.0935070303335853
input_condition_rewrite,Very Right-Wing,Centrist,0.8288460421772584,0.7309167284652187,0.9398960714381795,-2.926259334269852,0.0034306482644634543,0.0034306482644634543
input_condition_stance-based,Moderately Left-Wing,Centrist,0.99866816226459,0.9475452163853788,1.0525493465372562,-0.04970973193668915,0.9603537010851351,0.9603537010851351
input_condition_stance-based,Moderately Right-Wing,Centrist,0.9071470929907606,0.8549285514251299,0.962555112880277,-3.2216882847561936,0.001274376986968068,0.001274376986968068
input_condition_stance-based,Other,Centrist,0.5648298939063102,0.511717683750565,0.6234547274424954,-11.33766740244419,8.5390185174287e-30,8.5390185174287e-30
input_condition_stance-based,Very Left-Wing,Centrist,0.9584992098871974,0.8907229304249598,1.031432675608861,-1.1328458881752708,0.2572789771745135,0.2572789771745135
input_condition_stance-based,Very Right-Wing,Centrist,0.7010353221113391,0.634793855567287,0.7741891616272207,-7.013906967478683,2.3175352876559073e-12,2.3175352876559073e-12
