term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
model_anthropic/claude-sonnet-4,1.3303586754537806,1.3001363433249684,1.361283541100707,24.346491872000108,6.315171003521859e-131,6.778724166723837,6.242707019692327,7.314741313755348
model_deepseek/deepseek-chat-v3-0324,1.3908909496713986,1.358848264230572,1.423689226238392,27.746099999514108,1.941899684092734e-169,7.792560540549809,7.254262189392137,8.33085889170748
model_openai/chatgpt-4o-latest,1.3818830566199465,1.3506529389339594,1.4138352844961726,27.732863946856874,2.8047204709301385e-169,7.645360000680935,7.11627340508507,8.174446596276798
