term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
input_condition_bullets-based,3.7402769458461522,3.6546547598431434,3.8279051103116104,111.6461893044266,0,31.256666343006817,30.762929003727418,31.750403682286215
input_condition_improve,2.6790588799790522,2.59967966795957,2.7608618749662948,64.21702479775783,0,24.07004774970228,23.378021119594194,24.76207437981036
input_condition_rewrite,2.2936088383031334,2.2245710089258317,2.3647892029674655,53.235942901210095,0,20.452011503808272,19.724610637805554,21.179412369810986
input_condition_stance-based,3.904759853904126,3.813032508935645,3.9986938167798103,112.31340746423018,0,32.11575424693591,31.616402402542874,32.61510609132894
