ratings_received,n_paragraphs,proportion_paragraphs
9,2693,0.2691
10,5431,0.5427
11,1350,0.1349
12,355,0.0355
13,102,0.0102
14,40,0.004
15,24,0.0024
16,6,0.0006
17,3,0.0003
18,2,0.0002
19,2,0.0002
