term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
input_condition_bullets-based,Female,all_other_levels,1.1027520344636734,1.059332550731117,1.1479511780077787,4.77236996715697,1.820706573726665e-6,1.820706573726665e-6
input_condition_improve,Female,all_other_levels,1.0332125458620536,0.9794312385637745,1.0899470252675991,1.1979708494636296,0.23092836561819488,0.23092836561819488
input_condition_rewrite,Female,all_other_levels,0.9877611145188068,0.9349967932609072,1.0435030648101675,-0.4396574510703155,0.6601852238468606,0.6601852238468606
input_condition_stance-based,Female,all_other_levels,1.1148664445981433,1.0699445012537758,1.1616744493143576,5.181887987989207,2.1965111661938383e-7,2.1965111661938383e-7
input_condition_bullets-based,Male,all_other_levels,0.9062785779490659,0.87074081079602506,0.9432667570715069,-4.821731039826534,1.4231775554207558e-6,1.4231775554207558e-6
input_condition_improve,Male,all_other_levels,0.962311736418285,0.912480168579128,1.0148646621990347,-1.4160996633729528,0.15674632665724889,0.15674632665724889
input_condition_rewrite,Male,all_other_levels,0.99906189494616,0.9460401311412464,1.0550553164476586,-0.033733542440135454,0.9730896311867518,0.9730896311867518
input_condition_stance-based,Male,all_other_levels,0.8793199074595066,0.8440387123895347,0.9160758722376611,-6.155462543685191,7.485868754056588e-10,7.485868754056588e-10
input_condition_bullets-based,Other,all_other_levels,1.2047723249573878,0.966257448109998,1.5021631738232093,1.6550489921392675,0.09791456040786399,0.09791456040786399
input_condition_improve,Other,all_other_levels,1.336156228795836,1.0002988948961522,1.7847800061153283,1.9620233167322263,0.04975976967949826,0.04975976967949826
input_condition_rewrite,Other,all_other_levels,1.6136006742137654,1.2163931447140512,2.140514476867753,3.3187199493777584,9.043107284337779e-4,9.043107284337779e-4
input_condition_stance-based,Other,all_other_levels,1.8438552651650606,1.4929377516863553,2.2772565266278866,5.680578690587995,1.3423977308980266e-8,1.3423977308980266e-8
