term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
model_anthropic/claude-sonnet-4,1.516349505207045,1.4842354177514812,1.5491584383729111,38.117491845722014,6.575273e-318,7.441242348579213,7.075005767471964,7.807478929686463
model_deepseek/deepseek-chat-v3-0324,1.4706209884900194,1.4395128779170863,1.5024013504601186,35.35683289791993,7.872831932650776e-274,6.9503169933313735,6.580527044790939,7.320106941871808
model_openai/chatgpt-4o-latest,1.4235544231556247,1.393514437916808,1.4542419802376854,32.45390994645425,4.77054999854247e-231,6.418950712969973,6.045780687199719,6.792120738740228
