term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
input_condition_bullets-based,2.7648522270981473,2.7052816028648854,2.825734603596971,91.5128770071038,0,24.855334552865166,24.34989470450403,25.360774401226298
input_condition_improve,1.9188163684467407,1.8653322042305538,1.9738340695929264,45.18408993275596,0,16.106937577102958,15.411971952751315,16.8019032014546
input_condition_rewrite,1.7254372476054216,1.6769125195644574,1.7753661331107602,37.478631123639246,2.053314162069076e-307,13.470477664912478,12.763632586691513,14.177322743133445
input_condition_stance-based,2.794174446089856,2.7336402005013256,2.8560491734609927,91.9497202206317,0,25.097278215050974,24.59018386731147,25.604372562790473
