term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
model_anthropic/claude-sonnet-4,1.1660485955571958,1.145835512092724,1.1866182474285898,17.21830673818064,1.9356885757146597e-66,3.7491606120189145,3.320270162642015,4.178051061395815
model_deepseek/deepseek-chat-v3-0324,1.2464421308779274,1.2248548733400704,1.2684098495611407,24.71357681742856,7.642870336661066e-135,5.39962132601835,4.968990945113862,5.830251706922838
model_openai/chatgpt-4o-latest,1.2683104159611287,1.246386844212328,1.2906196167788309,26.71679899213598,3.003281147456064e-157,5.831801835871097,5.401576612100211,6.262027059641985
