term,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,1.6447065963054195,1.5877071500725284,1.7037523499261107,27.649327665379158,2.8432246992376406e-168,2.8432246992376406e-168
model_deepseek/deepseek-chat-v3-0324,1.5987835694083072,1.5434994927873977,1.6560477756904886,26.135112419619063,1.4552585400940545e-150,1.4552585400940545e-150
model_openai/chatgpt-4o-latest,1.4597500726321477,1.40918712060465,1.5121272706744955,21.03130176200711,3.392139284271276e-98,3.392139284271276e-98
