term,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
model_anthropic/claude-sonnet-4,1.6136871954766747,1.578683450134942,1.6494670699327298,42.76624896101118,0,8.444563606016843,8.07562328162708,8.813503930406604
model_deepseek/deepseek-chat-v3-0324,1.5936121459879071,1.559032162385406,1.6289591280493236,41.63320034193791,0,8.251520515300681,7.880912915498089,8.622128115103273
model_openai/chatgpt-4o-latest,1.6196221079210726,1.5845448711543413,1.655475853173987,43.16296622823497,0,8.500890821478635,8.1329558585785,8.86882578437877
