term,odds_ratio,or_low,or_high,statistic,p,p_value
model_anthropic/claude-sonnet-4,3.520170935852845,3.2099058867343557,3.8604257741119854,26.733868083889465,1.9019721598222085e-157,1.9019721598222085e-157
model_deepseek/deepseek-chat-v3-0324,3.8239757010173263,3.47726302359569,4.205258579159809,27.659799821848456,2.127522704747403e-168,2.127522704747403e-168
model_openai/chatgpt-4o-latest,4.3082977391517066,3.8999011551733047,4.759461501878723,28.74401297957465,1.076089029637964e-181,1.076089029637964e-181
