term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value
paragraph_type_model,Female,Male,1.076915770026515,1.0485618794918397,1.1060363707803735,5.443388881119207,5.227634881246481e-8,5.227634881246481e-8
paragraph_type_model,Other,Male,1.189851381926994,1.0807589115798548,1.309955713438474,3.5429102863503537,3.9573730425016945e-4,3.9573730425016945e-4
